artistId	channelId	Recently Uploaded Videos	Upload Times
29	UC3YcyjpsCueqnbN1YP9aQjQ	[u'LpV3fO5Alto', u'_uDiGAr_WKs', u'8I2S_29IbuM', u'8xNNeChvRI4', u'0nvfiuUZCh0']	[u'2008-07-28T02:51:41.000Z', u'2008-05-12T05:24:52.000Z', u'2008-05-04T02:23:56.000Z', u'2008-02-22T20:47:55.000Z', u'2008-02-20T21:21:14.000Z']
48	UCIACO5JyTM0l1HNykt91E6g	[u'mksoVUC8SIY']	[u'2009-12-10T22:37:45.000Z']
84	UCv33m7U8fGGwqJpGrKrG18g	[u'9eNL1T7QnRI', u'bKrKHOUcNvY', u'glBqlZTI7y8', u'j_cGtRMK-7Y', u'pFlM8Ay-4u4']	[u'2014-12-08T08:00:01.000Z', u'2014-11-04T00:00:04.000Z', u'2014-10-29T00:00:03.000Z', u'2014-10-21T23:00:03.000Z', u'2014-10-14T23:00:02.000Z']
106	UC-OO324clObi3H-U0bP77dw	[u'CLGWRMalNQ8', u'JiWtMsFcBuU', u'1fuCTUmUvK8', u'Ym8UHER2KFQ']	[u'2014-12-09T14:00:19.000Z', u'2014-12-06T00:19:18.000Z', u'2014-12-04T02:04:03.000Z', u'2014-12-02T14:00:07.000Z']
116	UCpmEh385Bx200T527dJQIxw	[u'uHmwDxLpDtg', u'aRQaFdRu04M', u'KlVYSYPD2Ng', u'-6yA-pHNSnc', u'jHi-SDeXpiA']	[u'2014-06-03T08:25:45.000Z', u'2014-06-01T08:27:16.000Z', u'2014-05-23T09:39:53.000Z', u'2014-05-18T10:21:07.000Z', u'2014-05-11T06:02:35.000Z']
149	UCK-INiAxSg27L8DQ6HIoHGQ	[u'x6ljfOaqnsE', u'dlBsiS7BqZo']	[u'2014-02-17T10:19:36.000Z', u'2014-02-12T17:13:10.000Z']
193	UC4a5d57ZAWl999-YXw0C1Vg	[u'NVvAJhZVBTc', u'd0Llc4Ciu0k', u'-k3TYNXwzHQ', u'02tL7YymAmc', u'pvVpMRpdGQc']	[u'2014-04-14T15:11:12.000Z', u'2013-08-26T12:59:20.000Z', u'2010-12-31T18:06:11.000Z', u'2010-12-24T23:56:47.000Z', u'2010-01-28T09:19:17.000Z']
207	UCgGEU8jHmCNtFI7n_AG-03g	[u'0rZwKL3Nx18', u'xExrt3fa0rA', u'z5OXON8vIaA']	[u'2014-09-02T22:27:34.000Z', u'2014-09-02T22:27:03.000Z', u'2012-07-06T19:51:59.000Z']
214	UCx4Lxn5CzeG99X01__YsJpw	[u'vRi1Dfe4VAo', u'0pFk0X9BJz8']	[u'2013-02-13T13:58:14.000Z', u'2012-12-11T16:48:11.000Z']
237	UC-vfCyibell_51GCZAd_60A	[u'HMV4qtvqlEU']	[u'2014-10-04T22:39:54.000Z']
268	UCiXsh6CVvfigg8psfsTekUA	[u'fucJ9fGazGc', u'98XL03W9CN4', u'oYLzAn91W5g', u'nzlXFA61MyE', u'pL4uESRCnv8']	[u'2014-10-04T17:13:40.000Z', u'2014-10-04T17:03:56.000Z', u'2014-09-19T07:00:04.000Z', u'2014-09-19T07:00:03.000Z', u'2014-09-19T07:00:03.000Z']
282	UC_kRDKYrUlrbtrSiyu5Tflg	[]	[]
298	UCaziuyHLR37c2jBkHrYSQMA	[u'KIroN5kJl3M']	[u'2009-04-17T15:14:08.000Z']
360	UC6dX999wO3gBsS1qzm4I-KA	[u'Bvhv8QcJe94', u'BtOvtNvT3go', u'JseJjva-tAw']	[u'2014-12-08T00:23:29.000Z', u'2014-12-07T15:38:38.000Z', u'2014-11-27T13:24:28.000Z']
383	UCB_Z6rBg3WW3NL4-QimhC2A	[u'k1jcmM3ZNHg', u'COMqfHvMKrA', u'VfWt2plVD-w']	[u'2014-12-13T01:40:23.000Z', u'2014-11-23T09:13:26.000Z', u'2014-11-17T13:12:30.000Z']
402	UCa_4DcdTB9QfK0LY9-7qWuQ	[u'8L6T6Yj5u4k']	[u'2014-03-20T12:00:04.000Z']
426	UCfM3zsQsOnfWNUppiycmBuw	[u'JOGq4696u0U', u'BevWmMdg97A', u'7DrgKNaW45U']	[u'2014-12-01T23:40:45.000Z', u'2014-11-25T21:31:00.000Z', u'2014-11-13T17:00:13.000Z']
458	UCd8wWXk6fSa8b8WaZbpWgvg	[]	[]
509	UCtGzco00YRL-LUZfx4hCpdg	[u'Srg3m_xAt58', u'nq6pqwH9GyU', u'S9IGmZoQR3Y', u'Y8eVFfmIdh8', u'yeHNZmREnk8']	[u'2014-11-21T21:31:21.000Z', u'2014-11-07T18:45:55.000Z', u'2014-11-06T21:07:05.000Z', u'2014-04-16T18:22:52.000Z', u'2014-04-10T17:25:53.000Z']
529	UCqe8uqvfignVf_SVaPKuDLQ	[u'eV-_F9O-77A', u'wbGs8kdf1hw']	[u'2008-11-11T17:47:42.000Z', u'2008-11-11T18:56:29.000Z']
